filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,power_port,151,176,169,196
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,power_switch,166,188,186,206
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,LAN_ethernet_port,190,196,214,220
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,LAN_ethernet_port,212,208,236,232
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,LAN_ethernet_port,233,222,259,244
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,LAN_ethernet_port,256,234,284,258
IMG_20211122_151709_024_jpg.rf.eae780a85bf5e77682412fe93da59416.jpg,416,416,WAN_ethernet_port,283,250,311,274
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,power_port,99,172,111,186
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,power_switch,110,180,128,200
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,LAN_ethernet_port,134,186,160,212
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,LAN_ethernet_port,156,198,184,222
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,LAN_ethernet_port,180,209,208,235
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,LAN_ethernet_port,205,221,235,249
IMG_20211122_151709_004_jpg.rf.e7bbc73caa7c913895eda86bd975eb4c.jpg,416,416,WAN_ethernet_port,236,236,268,264
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,power_port,168,225,182,245
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,power_switch,190,229,207,249
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,LAN_ethernet_port,215,231,242,255
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,LAN_ethernet_port,243,237,270,261
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,LAN_ethernet_port,271,242,297,266
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,LAN_ethernet_port,297,248,326,271
IMG_20211122_151805_029_jpg.rf.e965c419a2e006a872099cf960d840e5.jpg,416,416,WAN_ethernet_port,330,252,357,275
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,WAN_ethernet_port,249,218,275,240
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,LAN_ethernet_port,219,222,247,244
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,LAN_ethernet_port,190,223,218,245
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,LAN_ethernet_port,160,227,190,249
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,LAN_ethernet_port,125,228,159,254
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,power_port,63,236,87,258
IMG_20211122_151817_056_jpg.rf.edf176d2cabd1feea10f3f42f8dd08a9.jpg,416,416,power_switch,90,234,118,262
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,power_port,142,184,156,200
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,power_switch,157,193,175,211
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,LAN_ethernet_port,178,200,204,226
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,LAN_ethernet_port,200,212,228,238
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,LAN_ethernet_port,224,223,250,249
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,LAN_ethernet_port,246,235,276,263
IMG_20211122_151709_017_jpg.rf.ec1e72afa6dbbf2d55051bdd1163ece1.jpg,416,416,WAN_ethernet_port,276,252,308,280
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,power_port,153,178,165,192
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,power_switch,166,188,182,205
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,LAN_ethernet_port,187,195,209,217
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,LAN_ethernet_port,208,209,233,230
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,LAN_ethernet_port,228,220,252,241
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,LAN_ethernet_port,249,232,275,254
IMG_20211122_151709_070_jpg.rf.ec3922d22185534e5f3b4364f73ab853.jpg,416,416,WAN_ethernet_port,275,247,302,269
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,power_port,172,224,188,246
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,power_switch,192,229,212,249
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,LAN_ethernet_port,218,230,248,256
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,LAN_ethernet_port,248,236,274,260
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,LAN_ethernet_port,275,242,303,266
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,LAN_ethernet_port,303,245,331,271
IMG_20211122_151805_027_jpg.rf.ee2ac6277c52b22aad3a6b2115c8bf79.jpg,416,416,WAN_ethernet_port,334,252,364,276
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,power_port,92,172,106,192
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,power_switch,102,182,124,200
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,LAN_ethernet_port,128,188,154,214
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,LAN_ethernet_port,152,198,178,226
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,LAN_ethernet_port,176,211,202,237
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,LAN_ethernet_port,200,222,230,250
IMG_20211122_151709_001_jpg.rf.e6cef7ef8e6b7c2d125d10f72e1fae94.jpg,416,416,WAN_ethernet_port,232,238,262,264
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,WAN_ethernet_port,249,226,275,246
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,LAN_ethernet_port,218,228,246,248
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,LAN_ethernet_port,190,228,218,250
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,LAN_ethernet_port,159,228,189,252
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,LAN_ethernet_port,126,230,158,254
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,power_switch,93,232,117,258
IMG_20211122_151817_062_jpg.rf.ed66276631da20ecc8a9b0629de9f710.jpg,416,416,power_port,65,234,87,258
IMG_20211122_151817_072_jpg.rf.e709c72fbc936e6453e853bd24ffcfa3.jpg,416,416,WAN_ethernet_port,248,220,276,242
IMG_20211122_151817_072_jpg.rf.e709c72fbc936e6453e853bd24ffcfa3.jpg,416,416,LAN_ethernet_port,214,220,244,242
IMG_20211122_151817_072_jpg.rf.e709c72fbc936e6453e853bd24ffcfa3.jpg,416,416,LAN_ethernet_port,184,218,214,244
IMG_20211122_151817_072_jpg.rf.e709c72fbc936e6453e853bd24ffcfa3.jpg,416,416,LAN_ethernet_port,154,219,184,245
